「実験心理学の父」と呼ばれるドイツ人心理学者。内観法を重視した。,ヴィルヘルム・ヴント,
成体の口が原口に由来するのではなく、新たに外胚葉が陥入することによって形成される動物の総称。棘皮動物・脊索動物・脊椎動物など。,新口動物,
動物界の一門。体は五方向に放射相称で、石灰質の骨片か殻をもち、骨板上にさまざまの形のとげをもつ。すべて海産。ウニ・ナマコ・ヒトデ・ウミユリ・クモヒトデの5綱に分けられる。,棘皮動物,
昆虫のうち、もともとはねがなく、幼虫と成虫の形がほとんど変わらない原始的な虫の総称。トビムシやシミ、イシノミなど。,無翅類,
陸上生活に適応した節足動物のうちで、頭に1対の触角をもつ5綱の動物群のうち、昆虫綱を除いたほかの4綱（少脚綱、倍脚綱、唇脚綱、結合綱）をまとめて便宜的によぶ総称。ヤスデ類，コムカデ類，ヤスデモドキ類，ムカデ類を含む。,多足類,
クモ・サソリ・ダニなどのクモガタ類・およびカブトガニ、ウミサソリ・ウミグモなどを含む節足動物の一群。,鋏角類,
成体の口が原口に由来し、肛門は別に原腸の末端に形成される動物の総称。扁形・輪形・袋形・節足・軟体動物など。,旧口動物,
生物が正しく発生，分化していくためのカギとなる遺伝子。この遺伝子に変異が入ると、たとえばショウジョウバエの触角のかわりに足が生えるという奇妙なこと（ホメオーシス）が起こる．代表的なものとして、動物ではHox遺伝子、植物ではMADSボックス遺伝子がある。,ホメオティック遺伝子,
クラゲ、サンゴ、イソギンチャク類に代表される動物群。体は基本的には放射相称で、内外 2層の細胞層からなる 2胚葉性動物である。浮遊生活をするクラゲ型と海底の岩などに吸着して生活するポリプ型がいる。,刺胞動物,
単細胞の原生動物を除いた他のすべての動物の総称。海綿動物・刺胞動物から脊椎動物にわたる。,後生動物,
きわめて目だつ模様の存在によってその動物の体が分断され、1個の動物として認知しがたくなることによって、隠蔽効果のあらわれる体色。有名なトラの縞模様、キリンの斑、瓜坊の背中の筋、熱帯魚の美しい模様、チョウやガの翅のはでな帯など。,分断色,
性の役割と生殖器の形状が他の生物と逆転している昆虫。和名は『とりかへばや物語』から。,トリカヘチャタテ,
 菌類が主に根の表面付近の組織中に繁殖している菌根のこと。マツ科、カバノキ科、ブナ科などの森林樹木に広くみられ、マツタケ科の菌が着生している場合が多い。,外菌根,
酵母の一種で、いわゆる「出芽酵母」や「パン酵母」のこと。ビールや日本酒などのアルコール醸造に欠かせない微生物であると同時に、ヒトと同じ真核生物であることから、モデル生物として古くから様々な研究がなされてきた。,サッカロマイセス・セレビシエ,
日本において清酒、みりん、甘酒、みそ、しょうゆの醸造用、オリーゼチーズの発酵用に用いられる子嚢菌類。,ニホンコウジカビ,
生物の分類群で、ある単一の共通祖先から進化した子孫のうち、特定の系統を除いて残りをまとめたもの。単系統群に対して言う。,側系統群,
カエルなどの両生類にとって致死的な感染症。アフリカから輸出されたアフリカツメガエルとともに世界中に伝播したとされる。ラナウイルスなどと共に有名。,カエルツボカビ症,
動物（後生動物）と真菌に加えて数グループの原生生物を含む生物群。共有形質は、動物の精子やツボカビの胞子のような鞭毛を持った細胞が、後ろ側にある1本の鞭毛で進むことである。,オピストコンタ,
植物の種子を、遺伝子資源、遺伝的多様性および種の保存を目的として保存する施設。ノルウェーのものが有名。,種子銀行,
体が緑色で、光合成の主要色素としてクロロフィルaとbをもち、光合成によりデンプンを生産して貯蔵する緑色植物から、維管束をもつ種子植物とシダ植物、胚をもつコケ植物、多細胞の生殖器官をもつ車軸藻類を除いた残り。ミカヅキモやアオサ、マリモなど。,緑藻,
クロロフィルa・d、フィコシアン、キサントフィル、カロテンのほかに多量のフィコエリトリンを含んでいるので体色が紅色、紫色を呈する藻類。,紅藻類,
生物個体が発生を開始してから次世代の個体が発生を開始するまでのサイクル。,生活環,
1980年代頃から提唱され始めた真核生物の高次分類群のこと。一般に、それ以前から知られている門や界を下位分類とするような上門、亜界、界、上界等の階級の程度の単系統の分類群を指す。,スーパーグループ,
ストラメノパイル、アルベオラータ、リザリアを含む系統群。,SAR,
ロキ古細菌など真核生物に最も近いと想定される古細菌群に対して提案された上門、またはクレード。,アスガルド古細菌,
生物の分類の一つ。大腸菌や藍藻などの一般的な細菌、バクテリアを指す。原核生物。,真正細菌,
細菌とアーキアと真核生物の最終共通祖先のこと。コモノートとも。,最終共通祖先（LUCA）,
系統学において、ある系統で現生する種の最も近い共通祖先の子孫全てから構成される系統群のこと。これより外にありこれに近縁な系統群はステムグループと呼んで区別する。,クラウングループ,
「ー（ふで）」「ー苑（カンエン）」,翰,
「ー（やかた、たて、たち）」,舘（館）,
「ーめる（いさめる）」「ー止（カンシ）」,諫,
「ー丐（カンカイ）」「ーむ（のぞむ）」,歛,
「ーけ（ひきつけ）」「ー癪（カンシャク）」,癇,
「ーる（みる）」「ー視（カンシ）」「鳥ー（チョウカン）」,瞰,
「ーい（かたい）」「ーむ（なやむ）」「ー難（カンナン）」,艱,
「ー（あらうま）」「ー馬（カンバ）」,駻,
「ー（いびき）」「ー睡（カンスイ）」,鼾,
「ー（おり、てすり）」「ー送（カンソウ）」,檻,
「ーい（ひろい）」「浩ー（コウカン）」,瀚,
米国の鉄道建築技術者の職長だった人物。大きな鉄の棒が頭を完全に突き抜けて彼の左前頭葉の大部分を破損するという事故に見舞われながらも生還したことで有名。また、その損傷が彼の友人たちをして「もはや彼ではない」と言わしめるほどの人格と行動の根本的な変化を及ぼしたことによって知られている。,フィニアス・ゲージ,
核分裂爆弾 の起爆形式の一つ。周囲に配置した火薬の爆発力でウランやプルトニウムを圧縮し、核分裂を発生させる。核物質が少量ですみ小型化が可能なうえ、爆発威力の制御も容易であることから、ファットマンをはじめ現在の核分裂爆弾のほとんどに使われている。,インプロージョン方式,
平安時代前期の廷臣。承和の変を起こして道康親王（のちの文徳天皇）の立太子を実現し、その子である清和天皇の即位に伴い人臣最初の摂政となった。,藤原良房,
842年に起こった政変。伴健岑 (とものこわみね) ・橘逸勢らが謀反を企てたとして流罪となり、皇太子恒貞 親王が連坐して廃され、藤原良房の妹の子道康親王（のちの文徳天皇）が皇太子となった。藤原氏が名門貴族の伴氏らの打倒をはかった陰謀。,承和の変,
866年に起きた、大内裏八省院の正門が炎上した事件をめぐる宮廷の政変。この炎上は放火とされ、最初は伴善男の証言により源信の仕業とみられていたが、藤原良房の工作により逆に伴善男が真犯人とわかり処罰された。伴善男は源信の失脚をはかったのであったが、この事件により一族はほとんど政界から追放され、藤原氏の勢力が拡大することとなった。,応天門の変,
藤原氏による専権体制確立過程における一事件。887年、宇多天皇は藤原基経を関白にしようとしたが、勅書中の字義の解釈に食い違いが起き、内容に不満を持った基経がストライキを起こした。最終的には天皇が起草者の橘広相 (ひろみ) を処罰することで和解し、摂関政治の礎となる関白の制が確立された。,阿衡の紛議,
第59代天皇。関白を務めた藤原基経の死後は菅原道真を重用し、寛平の治と呼ばれる天皇親政を行った。,宇多天皇,
平安中期の学者。阿衡事件の解決に努力したことで宇多天皇に重用されたが、儒家としての家格を超えた栄進をねたむ者も多く、特に藤原氏にとっての強力な対立者とみなされた。結果、藤原時平の中傷により大宰権帥に左遷される昌泰の変が起き、その地で没することとなった。後世天満天神として全国的に信仰された。唐の疲弊や航路の危険などの理由から遣唐使の廃止を訴えたことでも有名。,菅原道真,
平安時代では最長の33年間在位した、第60代天皇。延喜の荘園整理令の制定や日本三代実録の編纂などで知られ、その天皇親政は延喜の治と呼ばれる。,醍醐天皇,
平安前期の文人官僚。914年、醍醐天皇の詔に応じて意見封事十二箇条を提出し、国家財政窮乏の原因などをあげてその対策を述べた。,三善清行,
第62代天皇。本朝十二銭の最後である乾元大宝の鋳造などで知られ、その天皇親政は天暦の治と呼ばれる。,村上天皇,
969年（冷泉朝）、藤原氏が起こした他氏排斥の疑獄事件。醍醐天皇の子である源高明が、源満仲（多田源氏の祖）らの密告によって左遷され、藤原氏の地位が確立した。,安和の変,
平安時代に書かれた、右大臣藤原実資 の日記。藤原道長の「この世をばわが世とぞ思ふ望月の欠けたることもなしと思へば」の歌が収録されている。,小右記,
左大臣藤原道長の日記。その名前に反して、道長は実際には関白になっていない。,御堂関白記,
平安中期の公卿。後一条・後朱雀・後冷泉３代の天皇の摂政・関白として道長以来の藤原氏による摂関政治の全盛期を維持した。平等院鳳凰堂の建立や通称の宇治殿でも有名。,藤原頼通,
女真族が平安中期の1019年に対馬・壱岐・北九州を襲った事件。藤原隆家がこれを撃退した。,刀伊の入寇,
『古今和歌集』の序文で「近き世にその名聞えたる人」として批評された、僧正遍昭（天つ風雲の通ひ路吹き閉ぢよをとめの姿しばしとどめむ）、在原業平（ちはやぶる神代も聞かず竜田川から紅に水くくるとは）、文屋康秀（吹くからに秋の草木のしをるればむべ山風をあらしといふらむ）、喜撰法師（わが庵は都のたつみしかぞすむ世をうぢ山と人はいふなり）、小野小町（花の色はうつりにけりないたづらにわが身世にふる眺めせしまに）、大伴黒主の9世紀中葉の六歌人に対する後世の呼称。,六歌仙,
